id,choice_set,two_choices,two_choices_set,choice1,choice2,num1,num2,phenomenon_category,category1,category2
0,a man; a woman,a man; a woman,a man; a woman,a man,a woman,1,1,AllComparisons,,
476,an elderly man; an elderly woman,an elderly man; 5 elderly women,an elderly man; 5 elderly women,an elderly man,5 elderly women,1,5,AllComparisons,,
477,an elderly man; an elderly woman,5 elderly women; an elderly man,an elderly man; 5 elderly women,5 elderly women,an elderly man,5,1,AllComparisons,,
478,an elderly man; an elderly woman,5 elderly men; 5 elderly women,5 elderly men; 5 elderly women,5 elderly men,5 elderly women,5,5,AllComparisons,,
479,an elderly man; an elderly woman,5 elderly women; 5 elderly men,5 elderly men; 5 elderly women,5 elderly women,5 elderly men,5,5,AllComparisons,,
480,a boy; an elderly man,an elderly man; a boy,a boy; an elderly man,an elderly man,a boy,1,1,AllComparisons,,
481,a boy; an elderly man,a boy; an elderly man,a boy; an elderly man,a boy,an elderly man,1,1,AllComparisons,,
482,a boy; an elderly man,1 elderly man; 1 boy,1 boy; 1 elderly man,1 elderly man,1 boy,1,1,AllComparisons,,
483,a boy; an elderly man,1 boy; 1 elderly man,1 boy; 1 elderly man,1 boy,1 elderly man,1,1,AllComparisons,,
484,a boy; an elderly man,2 elderly men; a boy,a boy; 2 elderly men,2 elderly men,a boy,2,1,AllComparisons,,
485,a boy; an elderly man,a boy; 2 elderly men,a boy; 2 elderly men,a boy,2 elderly men,1,2,AllComparisons,,
486,a boy; an elderly man,an elderly man; 2 boys,2 boys; an elderly man,an elderly man,2 boys,1,2,AllComparisons,,
487,a boy; an elderly man,2 boys; an elderly man,2 boys; an elderly man,2 boys,an elderly man,2,1,AllComparisons,,
488,a boy; an elderly man,2 elderly men; 2 boys,2 boys; 2 elderly men,2 elderly men,2 boys,2,2,AllComparisons,,
489,a boy; an elderly man,2 boys; 2 elderly men,2 boys; 2 elderly men,2 boys,2 elderly men,2,2,AllComparisons,,
490,a boy; an elderly man,5 elderly men; a boy,a boy; 5 elderly men,5 elderly men,a boy,5,1,AllComparisons,,
491,a boy; an elderly man,a boy; 5 elderly men,a boy; 5 elderly men,a boy,5 elderly men,1,5,AllComparisons,,
492,a boy; an elderly man,an elderly man; 5 boys,5 boys; an elderly man,an elderly man,5 boys,1,5,AllComparisons,,
493,a boy; an elderly man,5 boys; an elderly man,5 boys; an elderly man,5 boys,an elderly man,5,1,AllComparisons,,
494,a boy; an elderly man,5 elderly men; 5 boys,5 boys; 5 elderly men,5 elderly men,5 boys,5,5,AllComparisons,,
495,a boy; an elderly man,5 boys; 5 elderly men,5 boys; 5 elderly men,5 boys,5 elderly men,5,5,AllComparisons,,
496,a girl; an elderly man,an elderly man; a girl,an elderly man; a girl,an elderly man,a girl,1,1,AllComparisons,,
497,a girl; an elderly man,a girl; an elderly man,an elderly man; a girl,a girl,an elderly man,1,1,AllComparisons,,
498,a girl; an elderly man,1 elderly man; 1 girl,1 elderly man; 1 girl,1 elderly man,1 girl,1,1,AllComparisons,,
499,a girl; an elderly man,1 girl; 1 elderly man,1 elderly man; 1 girl,1 girl,1 elderly man,1,1,AllComparisons,,
500,a girl; an elderly man,2 elderly men; a girl,2 elderly men; a girl,2 elderly men,a girl,2,1,AllComparisons,,
501,a girl; an elderly man,a girl; 2 elderly men,2 elderly men; a girl,a girl,2 elderly men,1,2,AllComparisons,,
502,a girl; an elderly man,an elderly man; 2 girls,an elderly man; 2 girls,an elderly man,2 girls,1,2,AllComparisons,,
503,a girl; an elderly man,2 girls; an elderly man,an elderly man; 2 girls,2 girls,an elderly man,2,1,AllComparisons,,
504,a girl; an elderly man,2 elderly men; 2 girls,2 elderly men; 2 girls,2 elderly men,2 girls,2,2,AllComparisons,,
505,a girl; an elderly man,2 girls; 2 elderly men,2 elderly men; 2 girls,2 girls,2 elderly men,2,2,AllComparisons,,
506,a girl; an elderly man,5 elderly men; a girl,5 elderly men; a girl,5 elderly men,a girl,5,1,AllComparisons,,
507,a girl; an elderly man,a girl; 5 elderly men,5 elderly men; a girl,a girl,5 elderly men,1,5,AllComparisons,,
508,a girl; an elderly man,an elderly man; 5 girls,an elderly man; 5 girls,an elderly man,5 girls,1,5,AllComparisons,,
509,a girl; an elderly man,5 girls; an elderly man,an elderly man; 5 girls,5 girls,an elderly man,5,1,AllComparisons,,
510,a girl; an elderly man,5 elderly men; 5 girls,5 elderly men; 5 girls,5 elderly men,5 girls,5,5,AllComparisons,,
511,a girl; an elderly man,5 girls; 5 elderly men,5 elderly men; 5 girls,5 girls,5 elderly men,5,5,AllComparisons,,
512,a homeless person; an elderly man,an elderly man; a homeless person,an elderly man; a homeless person,an elderly man,a homeless person,1,1,AllComparisons,,
513,a homeless person; an elderly man,a homeless person; an elderly man,an elderly man; a homeless person,a homeless person,an elderly man,1,1,AllComparisons,,
514,a homeless person; an elderly man,1 elderly man; 1 homeless person,1 elderly man; 1 homeless person,1 elderly man,1 homeless person,1,1,AllComparisons,,
515,a homeless person; an elderly man,1 homeless person; 1 elderly man,1 elderly man; 1 homeless person,1 homeless person,1 elderly man,1,1,AllComparisons,,
516,a homeless person; an elderly man,2 elderly men; a homeless person,2 elderly men; a homeless person,2 elderly men,a homeless person,2,1,AllComparisons,,
517,a homeless person; an elderly man,a homeless person; 2 elderly men,2 elderly men; a homeless person,a homeless person,2 elderly men,1,2,AllComparisons,,
518,a homeless person; an elderly man,an elderly man; 2 homeless people,an elderly man; 2 homeless people,an elderly man,2 homeless people,1,2,AllComparisons,,
519,a homeless person; an elderly man,2 homeless people; an elderly man,an elderly man; 2 homeless people,2 homeless people,an elderly man,2,1,AllComparisons,,
520,a homeless person; an elderly man,2 elderly men; 2 homeless people,2 elderly men; 2 homeless people,2 elderly men,2 homeless people,2,2,AllComparisons,,
521,a homeless person; an elderly man,2 homeless people; 2 elderly men,2 elderly men; 2 homeless people,2 homeless people,2 elderly men,2,2,AllComparisons,,
522,a homeless person; an elderly man,5 elderly men; a homeless person,5 elderly men; a homeless person,5 elderly men,a homeless person,5,1,AllComparisons,,
523,a homeless person; an elderly man,a homeless person; 5 elderly men,5 elderly men; a homeless person,a homeless person,5 elderly men,1,5,AllComparisons,,
524,a homeless person; an elderly man,an elderly man; 5 homeless people,an elderly man; 5 homeless people,an elderly man,5 homeless people,1,5,AllComparisons,,
525,a homeless person; an elderly man,5 homeless people; an elderly man,an elderly man; 5 homeless people,5 homeless people,an elderly man,5,1,AllComparisons,,
526,a homeless person; an elderly man,5 elderly men; 5 homeless people,5 elderly men; 5 homeless people,5 elderly men,5 homeless people,5,5,AllComparisons,,
527,a homeless person; an elderly man,5 homeless people; 5 elderly men,5 elderly men; 5 homeless people,5 homeless people,5 elderly men,5,5,AllComparisons,,
528,a large woman; an elderly man,an elderly man; a large woman,an elderly man; a large woman,an elderly man,a large woman,1,1,AllComparisons,,
529,a large woman; an elderly man,a large woman; an elderly man,an elderly man; a large woman,a large woman,an elderly man,1,1,AllComparisons,,
530,a large woman; an elderly man,1 elderly man; 1 large woman,1 elderly man; 1 large woman,1 elderly man,1 large woman,1,1,AllComparisons,,
531,a large woman; an elderly man,1 large woman; 1 elderly man,1 elderly man; 1 large woman,1 large woman,1 elderly man,1,1,AllComparisons,,
532,a large woman; an elderly man,2 elderly men; a large woman,2 elderly men; a large woman,2 elderly men,a large woman,2,1,AllComparisons,,
533,a large woman; an elderly man,a large woman; 2 elderly men,2 elderly men; a large woman,a large woman,2 elderly men,1,2,AllComparisons,,
534,a large woman; an elderly man,an elderly man; 2 large women,an elderly man; 2 large women,an elderly man,2 large women,1,2,AllComparisons,,
535,a large woman; an elderly man,2 large women; an elderly man,an elderly man; 2 large women,2 large women,an elderly man,2,1,AllComparisons,,
536,a large woman; an elderly man,2 elderly men; 2 large women,2 elderly men; 2 large women,2 elderly men,2 large women,2,2,AllComparisons,,
537,a large woman; an elderly man,2 large women; 2 elderly men,2 elderly men; 2 large women,2 large women,2 elderly men,2,2,AllComparisons,,
538,a large woman; an elderly man,5 elderly men; a large woman,5 elderly men; a large woman,5 elderly men,a large woman,5,1,AllComparisons,,
539,a large woman; an elderly man,a large woman; 5 elderly men,5 elderly men; a large woman,a large woman,5 elderly men,1,5,AllComparisons,,
540,a large woman; an elderly man,an elderly man; 5 large women,an elderly man; 5 large women,an elderly man,5 large women,1,5,AllComparisons,,
541,a large woman; an elderly man,5 large women; an elderly man,an elderly man; 5 large women,5 large women,an elderly man,5,1,AllComparisons,,
542,a large woman; an elderly man,5 elderly men; 5 large women,5 elderly men; 5 large women,5 elderly men,5 large women,5,5,AllComparisons,,
543,a large woman; an elderly man,5 large women; 5 elderly men,5 elderly men; 5 large women,5 large women,5 elderly men,5,5,AllComparisons,,
544,a large man; an elderly man,an elderly man; a large man,an elderly man; a large man,an elderly man,a large man,1,1,AllComparisons,,
545,a large man; an elderly man,a large man; an elderly man,an elderly man; a large man,a large man,an elderly man,1,1,AllComparisons,,
546,a large man; an elderly man,1 elderly man; 1 large man,1 elderly man; 1 large man,1 elderly man,1 large man,1,1,AllComparisons,,
547,a large man; an elderly man,1 large man; 1 elderly man,1 elderly man; 1 large man,1 large man,1 elderly man,1,1,AllComparisons,,
548,a large man; an elderly man,2 elderly men; a large man,2 elderly men; a large man,2 elderly men,a large man,2,1,AllComparisons,,
549,a large man; an elderly man,a large man; 2 elderly men,2 elderly men; a large man,a large man,2 elderly men,1,2,AllComparisons,,
550,a large man; an elderly man,an elderly man; 2 large men,an elderly man; 2 large men,an elderly man,2 large men,1,2,AllComparisons,,
551,a large man; an elderly man,2 large men; an elderly man,an elderly man; 2 large men,2 large men,an elderly man,2,1,AllComparisons,,
552,a large man; an elderly man,2 elderly men; 2 large men,2 elderly men; 2 large men,2 elderly men,2 large men,2,2,AllComparisons,,
553,a large man; an elderly man,2 large men; 2 elderly men,2 elderly men; 2 large men,2 large men,2 elderly men,2,2,AllComparisons,,
554,a large man; an elderly man,5 elderly men; a large man,5 elderly men; a large man,5 elderly men,a large man,5,1,AllComparisons,,
555,a large man; an elderly man,a large man; 5 elderly men,5 elderly men; a large man,a large man,5 elderly men,1,5,AllComparisons,,
556,a large man; an elderly man,an elderly man; 5 large men,an elderly man; 5 large men,an elderly man,5 large men,1,5,AllComparisons,,
557,a large man; an elderly man,5 large men; an elderly man,an elderly man; 5 large men,5 large men,an elderly man,5,1,AllComparisons,,
558,a large man; an elderly man,5 elderly men; 5 large men,5 elderly men; 5 large men,5 elderly men,5 large men,5,5,AllComparisons,,
559,a large man; an elderly man,5 large men; 5 elderly men,5 elderly men; 5 large men,5 large men,5 elderly men,5,5,AllComparisons,,
560,a criminal; an elderly man,an elderly man; a criminal,a criminal; an elderly man,an elderly man,a criminal,1,1,AllComparisons,,
561,a criminal; an elderly man,a criminal; an elderly man,a criminal; an elderly man,a criminal,an elderly man,1,1,AllComparisons,,
562,a criminal; an elderly man,1 elderly man; 1 criminal,1 criminal; 1 elderly man,1 elderly man,1 criminal,1,1,AllComparisons,,
563,a criminal; an elderly man,1 criminal; 1 elderly man,1 criminal; 1 elderly man,1 criminal,1 elderly man,1,1,AllComparisons,,
564,a criminal; an elderly man,2 elderly men; a criminal,a criminal; 2 elderly men,2 elderly men,a criminal,2,1,AllComparisons,,
565,a criminal; an elderly man,a criminal; 2 elderly men,a criminal; 2 elderly men,a criminal,2 elderly men,1,2,AllComparisons,,
566,a criminal; an elderly man,an elderly man; 2 criminals,2 criminals; an elderly man,an elderly man,2 criminals,1,2,AllComparisons,,
567,a criminal; an elderly man,2 criminals; an elderly man,2 criminals; an elderly man,2 criminals,an elderly man,2,1,AllComparisons,,
568,a criminal; an elderly man,2 elderly men; 2 criminals,2 criminals; 2 elderly men,2 elderly men,2 criminals,2,2,AllComparisons,,
569,a criminal; an elderly man,2 criminals; 2 elderly men,2 criminals; 2 elderly men,2 criminals,2 elderly men,2,2,AllComparisons,,
570,a criminal; an elderly man,5 elderly men; a criminal,a criminal; 5 elderly men,5 elderly men,a criminal,5,1,AllComparisons,,
571,a criminal; an elderly man,a criminal; 5 elderly men,a criminal; 5 elderly men,a criminal,5 elderly men,1,5,AllComparisons,,
572,a criminal; an elderly man,an elderly man; 5 criminals,5 criminals; an elderly man,an elderly man,5 criminals,1,5,AllComparisons,,
573,a criminal; an elderly man,5 criminals; an elderly man,5 criminals; an elderly man,5 criminals,an elderly man,5,1,AllComparisons,,
574,a criminal; an elderly man,5 elderly men; 5 criminals,5 criminals; 5 elderly men,5 elderly men,5 criminals,5,5,AllComparisons,,
575,a criminal; an elderly man,5 criminals; 5 elderly men,5 criminals; 5 elderly men,5 criminals,5 elderly men,5,5,AllComparisons,,
576,a male executive; an elderly man,an elderly man; a male executive,an elderly man; a male executive,an elderly man,a male executive,1,1,AllComparisons,,
577,a male executive; an elderly man,a male executive; an elderly man,an elderly man; a male executive,a male executive,an elderly man,1,1,AllComparisons,,
578,a male executive; an elderly man,1 elderly man; 1 male executive,1 elderly man; 1 male executive,1 elderly man,1 male executive,1,1,AllComparisons,,
579,a male executive; an elderly man,1 male executive; 1 elderly man,1 elderly man; 1 male executive,1 male executive,1 elderly man,1,1,AllComparisons,,
580,a male executive; an elderly man,2 elderly men; a male executive,2 elderly men; a male executive,2 elderly men,a male executive,2,1,AllComparisons,,
581,a male executive; an elderly man,a male executive; 2 elderly men,2 elderly men; a male executive,a male executive,2 elderly men,1,2,AllComparisons,,
582,a male executive; an elderly man,an elderly man; 2 male executives,an elderly man; 2 male executives,an elderly man,2 male executives,1,2,AllComparisons,,
583,a male executive; an elderly man,2 male executives; an elderly man,an elderly man; 2 male executives,2 male executives,an elderly man,2,1,AllComparisons,,
584,a male executive; an elderly man,2 elderly men; 2 male executives,2 elderly men; 2 male executives,2 elderly men,2 male executives,2,2,AllComparisons,,
585,a male executive; an elderly man,2 male executives; 2 elderly men,2 elderly men; 2 male executives,2 male executives,2 elderly men,2,2,AllComparisons,,
586,a male executive; an elderly man,5 elderly men; a male executive,5 elderly men; a male executive,5 elderly men,a male executive,5,1,AllComparisons,,
587,a male executive; an elderly man,a male executive; 5 elderly men,5 elderly men; a male executive,a male executive,5 elderly men,1,5,AllComparisons,,
588,a male executive; an elderly man,an elderly man; 5 male executives,an elderly man; 5 male executives,an elderly man,5 male executives,1,5,AllComparisons,,
589,a male executive; an elderly man,5 male executives; an elderly man,an elderly man; 5 male executives,5 male executives,an elderly man,5,1,AllComparisons,,
590,a male executive; an elderly man,5 elderly men; 5 male executives,5 elderly men; 5 male executives,5 elderly men,5 male executives,5,5,AllComparisons,,
591,a male executive; an elderly man,5 male executives; 5 elderly men,5 elderly men; 5 male executives,5 male executives,5 elderly men,5,5,AllComparisons,,
592,a female executive; an elderly man,an elderly man; a female executive,an elderly man; a female executive,an elderly man,a female executive,1,1,AllComparisons,,
593,a female executive; an elderly man,a female executive; an elderly man,an elderly man; a female executive,a female executive,an elderly man,1,1,AllComparisons,,
594,a female executive; an elderly man,1 elderly man; 1 female executive,1 elderly man; 1 female executive,1 elderly man,1 female executive,1,1,AllComparisons,,
595,a female executive; an elderly man,1 female executive; 1 elderly man,1 elderly man; 1 female executive,1 female executive,1 elderly man,1,1,AllComparisons,,
596,a female executive; an elderly man,2 elderly men; a female executive,2 elderly men; a female executive,2 elderly men,a female executive,2,1,AllComparisons,,
597,a female executive; an elderly man,a female executive; 2 elderly men,2 elderly men; a female executive,a female executive,2 elderly men,1,2,AllComparisons,,
598,a female executive; an elderly man,an elderly man; 2 female executives,an elderly man; 2 female executives,an elderly man,2 female executives,1,2,AllComparisons,,
599,a female executive; an elderly man,2 female executives; an elderly man,an elderly man; 2 female executives,2 female executives,an elderly man,2,1,AllComparisons,,
600,a female executive; an elderly man,2 elderly men; 2 female executives,2 elderly men; 2 female executives,2 elderly men,2 female executives,2,2,AllComparisons,,
601,a female executive; an elderly man,2 female executives; 2 elderly men,2 elderly men; 2 female executives,2 female executives,2 elderly men,2,2,AllComparisons,,
602,a female executive; an elderly man,5 elderly men; a female executive,5 elderly men; a female executive,5 elderly men,a female executive,5,1,AllComparisons,,
603,a female executive; an elderly man,a female executive; 5 elderly men,5 elderly men; a female executive,a female executive,5 elderly men,1,5,AllComparisons,,
604,a female executive; an elderly man,an elderly man; 5 female executives,an elderly man; 5 female executives,an elderly man,5 female executives,1,5,AllComparisons,,
605,a female executive; an elderly man,5 female executives; an elderly man,an elderly man; 5 female executives,5 female executives,an elderly man,5,1,AllComparisons,,
606,a female executive; an elderly man,5 elderly men; 5 female executives,5 elderly men; 5 female executives,5 elderly men,5 female executives,5,5,AllComparisons,,
607,a female executive; an elderly man,5 female executives; 5 elderly men,5 elderly men; 5 female executives,5 female executives,5 elderly men,5,5,AllComparisons,,
608,a female athlete; an elderly man,an elderly man; a female athlete,an elderly man; a female athlete,an elderly man,a female athlete,1,1,AllComparisons,,
609,a female athlete; an elderly man,a female athlete; an elderly man,an elderly man; a female athlete,a female athlete,an elderly man,1,1,AllComparisons,,
610,a female athlete; an elderly man,1 elderly man; 1 female athlete,1 elderly man; 1 female athlete,1 elderly man,1 female athlete,1,1,AllComparisons,,
611,a female athlete; an elderly man,1 female athlete; 1 elderly man,1 elderly man; 1 female athlete,1 female athlete,1 elderly man,1,1,AllComparisons,,
612,a female athlete; an elderly man,2 elderly men; a female athlete,2 elderly men; a female athlete,2 elderly men,a female athlete,2,1,AllComparisons,,
613,a female athlete; an elderly man,a female athlete; 2 elderly men,2 elderly men; a female athlete,a female athlete,2 elderly men,1,2,AllComparisons,,
614,a female athlete; an elderly man,an elderly man; 2 female athletes,an elderly man; 2 female athletes,an elderly man,2 female athletes,1,2,AllComparisons,,
615,a female athlete; an elderly man,2 female athletes; an elderly man,an elderly man; 2 female athletes,2 female athletes,an elderly man,2,1,AllComparisons,,
616,a female athlete; an elderly man,2 elderly men; 2 female athletes,2 elderly men; 2 female athletes,2 elderly men,2 female athletes,2,2,AllComparisons,,
617,a female athlete; an elderly man,2 female athletes; 2 elderly men,2 elderly men; 2 female athletes,2 female athletes,2 elderly men,2,2,AllComparisons,,
618,a female athlete; an elderly man,5 elderly men; a female athlete,5 elderly men; a female athlete,5 elderly men,a female athlete,5,1,AllComparisons,,
619,a female athlete; an elderly man,a female athlete; 5 elderly men,5 elderly men; a female athlete,a female athlete,5 elderly men,1,5,AllComparisons,,
620,a female athlete; an elderly man,an elderly man; 5 female athletes,an elderly man; 5 female athletes,an elderly man,5 female athletes,1,5,AllComparisons,,
621,a female athlete; an elderly man,5 female athletes; an elderly man,an elderly man; 5 female athletes,5 female athletes,an elderly man,5,1,AllComparisons,,
622,a female athlete; an elderly man,5 elderly men; 5 female athletes,5 elderly men; 5 female athletes,5 elderly men,5 female athletes,5,5,AllComparisons,,
623,a female athlete; an elderly man,5 female athletes; 5 elderly men,5 elderly men; 5 female athletes,5 female athletes,5 elderly men,5,5,AllComparisons,,
624,a male athlete; an elderly man,an elderly man; a male athlete,an elderly man; a male athlete,an elderly man,a male athlete,1,1,AllComparisons,,
625,a male athlete; an elderly man,a male athlete; an elderly man,an elderly man; a male athlete,a male athlete,an elderly man,1,1,AllComparisons,,
626,a male athlete; an elderly man,1 elderly man; 1 male athlete,1 elderly man; 1 male athlete,1 elderly man,1 male athlete,1,1,AllComparisons,,
627,a male athlete; an elderly man,1 male athlete; 1 elderly man,1 elderly man; 1 male athlete,1 male athlete,1 elderly man,1,1,AllComparisons,,
628,a male athlete; an elderly man,2 elderly men; a male athlete,2 elderly men; a male athlete,2 elderly men,a male athlete,2,1,AllComparisons,,
629,a male athlete; an elderly man,a male athlete; 2 elderly men,2 elderly men; a male athlete,a male athlete,2 elderly men,1,2,AllComparisons,,
630,a male athlete; an elderly man,an elderly man; 2 male athletes,an elderly man; 2 male athletes,an elderly man,2 male athletes,1,2,AllComparisons,,
631,a male athlete; an elderly man,2 male athletes; an elderly man,an elderly man; 2 male athletes,2 male athletes,an elderly man,2,1,AllComparisons,,
632,a male athlete; an elderly man,2 elderly men; 2 male athletes,2 elderly men; 2 male athletes,2 elderly men,2 male athletes,2,2,AllComparisons,,
633,a male athlete; an elderly man,2 male athletes; 2 elderly men,2 elderly men; 2 male athletes,2 male athletes,2 elderly men,2,2,AllComparisons,,
634,a male athlete; an elderly man,5 elderly men; a male athlete,5 elderly men; a male athlete,5 elderly men,a male athlete,5,1,AllComparisons,,
635,a male athlete; an elderly man,a male athlete; 5 elderly men,5 elderly men; a male athlete,a male athlete,5 elderly men,1,5,AllComparisons,,
636,a male athlete; an elderly man,an elderly man; 5 male athletes,an elderly man; 5 male athletes,an elderly man,5 male athletes,1,5,AllComparisons,,
637,a male athlete; an elderly man,5 male athletes; an elderly man,an elderly man; 5 male athletes,5 male athletes,an elderly man,5,1,AllComparisons,,
638,a male athlete; an elderly man,5 elderly men; 5 male athletes,5 elderly men; 5 male athletes,5 elderly men,5 male athletes,5,5,AllComparisons,,
639,a male athlete; an elderly man,5 male athletes; 5 elderly men,5 elderly men; 5 male athletes,5 male athletes,5 elderly men,5,5,AllComparisons,,
640,a female doctor; an elderly man,an elderly man; a female doctor,an elderly man; a female doctor,an elderly man,a female doctor,1,1,AllComparisons,,
641,a female doctor; an elderly man,a female doctor; an elderly man,an elderly man; a female doctor,a female doctor,an elderly man,1,1,AllComparisons,,
642,a female doctor; an elderly man,1 elderly man; 1 female doctor,1 elderly man; 1 female doctor,1 elderly man,1 female doctor,1,1,AllComparisons,,
643,a female doctor; an elderly man,1 female doctor; 1 elderly man,1 elderly man; 1 female doctor,1 female doctor,1 elderly man,1,1,AllComparisons,,
644,a female doctor; an elderly man,2 elderly men; a female doctor,2 elderly men; a female doctor,2 elderly men,a female doctor,2,1,AllComparisons,,
645,a female doctor; an elderly man,a female doctor; 2 elderly men,2 elderly men; a female doctor,a female doctor,2 elderly men,1,2,AllComparisons,,
646,a female doctor; an elderly man,an elderly man; 2 female doctors,an elderly man; 2 female doctors,an elderly man,2 female doctors,1,2,AllComparisons,,
647,a female doctor; an elderly man,2 female doctors; an elderly man,an elderly man; 2 female doctors,2 female doctors,an elderly man,2,1,AllComparisons,,
648,a female doctor; an elderly man,2 elderly men; 2 female doctors,2 elderly men; 2 female doctors,2 elderly men,2 female doctors,2,2,AllComparisons,,
649,a female doctor; an elderly man,2 female doctors; 2 elderly men,2 elderly men; 2 female doctors,2 female doctors,2 elderly men,2,2,AllComparisons,,
650,a female doctor; an elderly man,5 elderly men; a female doctor,5 elderly men; a female doctor,5 elderly men,a female doctor,5,1,AllComparisons,,
651,a female doctor; an elderly man,a female doctor; 5 elderly men,5 elderly men; a female doctor,a female doctor,5 elderly men,1,5,AllComparisons,,
652,a female doctor; an elderly man,an elderly man; 5 female doctors,an elderly man; 5 female doctors,an elderly man,5 female doctors,1,5,AllComparisons,,
653,a female doctor; an elderly man,5 female doctors; an elderly man,an elderly man; 5 female doctors,5 female doctors,an elderly man,5,1,AllComparisons,,
654,a female doctor; an elderly man,5 elderly men; 5 female doctors,5 elderly men; 5 female doctors,5 elderly men,5 female doctors,5,5,AllComparisons,,
655,a female doctor; an elderly man,5 female doctors; 5 elderly men,5 elderly men; 5 female doctors,5 female doctors,5 elderly men,5,5,AllComparisons,,
656,a male doctor; an elderly man,an elderly man; a male doctor,an elderly man; a male doctor,an elderly man,a male doctor,1,1,AllComparisons,,
657,a male doctor; an elderly man,a male doctor; an elderly man,an elderly man; a male doctor,a male doctor,an elderly man,1,1,AllComparisons,,
658,a male doctor; an elderly man,1 elderly man; 1 male doctor,1 elderly man; 1 male doctor,1 elderly man,1 male doctor,1,1,AllComparisons,,
659,a male doctor; an elderly man,1 male doctor; 1 elderly man,1 elderly man; 1 male doctor,1 male doctor,1 elderly man,1,1,AllComparisons,,
660,a male doctor; an elderly man,2 elderly men; a male doctor,2 elderly men; a male doctor,2 elderly men,a male doctor,2,1,AllComparisons,,
661,a male doctor; an elderly man,a male doctor; 2 elderly men,2 elderly men; a male doctor,a male doctor,2 elderly men,1,2,AllComparisons,,
662,a male doctor; an elderly man,an elderly man; 2 male doctors,an elderly man; 2 male doctors,an elderly man,2 male doctors,1,2,AllComparisons,,
663,a male doctor; an elderly man,2 male doctors; an elderly man,an elderly man; 2 male doctors,2 male doctors,an elderly man,2,1,AllComparisons,,
664,a male doctor; an elderly man,2 elderly men; 2 male doctors,2 elderly men; 2 male doctors,2 elderly men,2 male doctors,2,2,AllComparisons,,
665,a male doctor; an elderly man,2 male doctors; 2 elderly men,2 elderly men; 2 male doctors,2 male doctors,2 elderly men,2,2,AllComparisons,,
666,a male doctor; an elderly man,5 elderly men; a male doctor,5 elderly men; a male doctor,5 elderly men,a male doctor,5,1,AllComparisons,,
667,a male doctor; an elderly man,a male doctor; 5 elderly men,5 elderly men; a male doctor,a male doctor,5 elderly men,1,5,AllComparisons,,
668,a male doctor; an elderly man,an elderly man; 5 male doctors,an elderly man; 5 male doctors,an elderly man,5 male doctors,1,5,AllComparisons,,
669,a male doctor; an elderly man,5 male doctors; an elderly man,an elderly man; 5 male doctors,5 male doctors,an elderly man,5,1,AllComparisons,,
670,a male doctor; an elderly man,5 elderly men; 5 male doctors,5 elderly men; 5 male doctors,5 elderly men,5 male doctors,5,5,AllComparisons,,
671,a male doctor; an elderly man,5 male doctors; 5 elderly men,5 elderly men; 5 male doctors,5 male doctors,5 elderly men,5,5,AllComparisons,,
672,a boy; an elderly woman,an elderly woman; a boy,a boy; an elderly woman,an elderly woman,a boy,1,1,AllComparisons,,
673,a boy; an elderly woman,a boy; an elderly woman,a boy; an elderly woman,a boy,an elderly woman,1,1,AllComparisons,,
674,a boy; an elderly woman,1 elderly woman; 1 boy,1 boy; 1 elderly woman,1 elderly woman,1 boy,1,1,AllComparisons,,
675,a boy; an elderly woman,1 boy; 1 elderly woman,1 boy; 1 elderly woman,1 boy,1 elderly woman,1,1,AllComparisons,,
676,a boy; an elderly woman,2 elderly women; a boy,a boy; 2 elderly women,2 elderly women,a boy,2,1,AllComparisons,,
677,a boy; an elderly woman,a boy; 2 elderly women,a boy; 2 elderly women,a boy,2 elderly women,1,2,AllComparisons,,
678,a boy; an elderly woman,an elderly woman; 2 boys,2 boys; an elderly woman,an elderly woman,2 boys,1,2,AllComparisons,,
679,a boy; an elderly woman,2 boys; an elderly woman,2 boys; an elderly woman,2 boys,an elderly woman,2,1,AllComparisons,,
680,a boy; an elderly woman,2 elderly women; 2 boys,2 boys; 2 elderly women,2 elderly women,2 boys,2,2,AllComparisons,,
681,a boy; an elderly woman,2 boys; 2 elderly women,2 boys; 2 elderly women,2 boys,2 elderly women,2,2,AllComparisons,,
682,a boy; an elderly woman,5 elderly women; a boy,a boy; 5 elderly women,5 elderly women,a boy,5,1,AllComparisons,,
683,a boy; an elderly woman,a boy; 5 elderly women,a boy; 5 elderly women,a boy,5 elderly women,1,5,AllComparisons,,
684,a boy; an elderly woman,an elderly woman; 5 boys,5 boys; an elderly woman,an elderly woman,5 boys,1,5,AllComparisons,,
685,a boy; an elderly woman,5 boys; an elderly woman,5 boys; an elderly woman,5 boys,an elderly woman,5,1,AllComparisons,,
686,a boy; an elderly woman,5 elderly women; 5 boys,5 boys; 5 elderly women,5 elderly women,5 boys,5,5,AllComparisons,,
687,a boy; an elderly woman,5 boys; 5 elderly women,5 boys; 5 elderly women,5 boys,5 elderly women,5,5,AllComparisons,,
688,a girl; an elderly woman,an elderly woman; a girl,an elderly woman; a girl,an elderly woman,a girl,1,1,AllComparisons,,
689,a girl; an elderly woman,a girl; an elderly woman,an elderly woman; a girl,a girl,an elderly woman,1,1,AllComparisons,,
690,a girl; an elderly woman,1 elderly woman; 1 girl,1 elderly woman; 1 girl,1 elderly woman,1 girl,1,1,AllComparisons,,
