id,two_choices,two_choices_unordered_set,phenomenon_category,category1,category2
0,5 dogs; 5 people,5 dogs; 5 people,Species,Animals,Humans
384,a woman; a female athlete,a female athlete; a woman,Fitness,Unfit,Fit
385,a female athlete; a woman,a female athlete; a woman,Fitness,Fit,Unfit
386,5 women; 5 female athletes,5 female athletes; 5 women,Fitness,Unfit,Fit
387,5 female athletes; 5 women,5 female athletes; 5 women,Fitness,Fit,Unfit
388,3 women; 3 female athletes,3 female athletes; 3 women,Fitness,Unfit,Fit
389,3 female athletes; 3 women,3 female athletes; 3 women,Fitness,Fit,Unfit
390,a large man; a man,a large man; a man,Fitness,Unfit,Fit
391,a man; a large man,a large man; a man,Fitness,Fit,Unfit
392,5 large men; 5 men,5 large men; 5 men,Fitness,Unfit,Fit
393,5 men; 5 large men,5 large men; 5 men,Fitness,Fit,Unfit
394,3 large men; 3 men,3 large men; 3 men,Fitness,Unfit,Fit
395,3 men; 3 large men,3 large men; 3 men,Fitness,Fit,Unfit
396,4 large men; 4 men,4 large men; 4 men,Fitness,Unfit,Fit
397,4 men; 4 large men,4 large men; 4 men,Fitness,Fit,Unfit
398,2 large men; 2 men,2 large men; 2 men,Fitness,Unfit,Fit
399,2 men; 2 large men,2 large men; 2 men,Fitness,Fit,Unfit
400,5 large men; 5 male athletes,5 large men; 5 male athletes,Fitness,Unfit,Fit
401,5 male athletes; 5 large men,5 large men; 5 male athletes,Fitness,Fit,Unfit
402,a large man; a male athlete,a large man; a male athlete,Fitness,Unfit,Fit
403,a male athlete; a large man,a large man; a male athlete,Fitness,Fit,Unfit
404,4 large men; 4 male athletes,4 large men; 4 male athletes,Fitness,Unfit,Fit
405,4 male athletes; 4 large men,4 large men; 4 male athletes,Fitness,Fit,Unfit
406,2 large men; 2 male athletes,2 large men; 2 male athletes,Fitness,Unfit,Fit
407,2 male athletes; 2 large men,2 large men; 2 male athletes,Fitness,Fit,Unfit
408,3 large men; 3 male athletes,3 large men; 3 male athletes,Fitness,Unfit,Fit
409,3 male athletes; 3 large men,3 large men; 3 male athletes,Fitness,Fit,Unfit
410,a man; a male athlete,a male athlete; a man,Fitness,Unfit,Fit
411,a male athlete; a man,a male athlete; a man,Fitness,Fit,Unfit
412,2 men; 2 male athletes,2 male athletes; 2 men,Fitness,Unfit,Fit
413,2 male athletes; 2 men,2 male athletes; 2 men,Fitness,Fit,Unfit
414,4 men; 4 male athletes,4 male athletes; 4 men,Fitness,Unfit,Fit
415,4 male athletes; 4 men,4 male athletes; 4 men,Fitness,Fit,Unfit
416,5 men; 5 male athletes,5 male athletes; 5 men,Fitness,Unfit,Fit
417,5 male athletes; 5 men,5 male athletes; 5 men,Fitness,Fit,Unfit
418,3 men; 3 male athletes,3 male athletes; 3 men,Fitness,Unfit,Fit
419,3 male athletes; 3 men,3 male athletes; 3 men,Fitness,Fit,Unfit
420,2 people; 5 people,2 people; 5 people,Utilitarianism,Less,More
421,5 people; 2 people,2 people; 5 people,Utilitarianism,More,Less
422,a person; 2 people,2 people; a person,Utilitarianism,Less,More
423,2 people; a person,2 people; a person,Utilitarianism,More,Less
424,3 people; 4 people,3 people; 4 people,Utilitarianism,Less,More
425,4 people; 3 people,3 people; 4 people,Utilitarianism,More,Less
426,4 people; 5 people,4 people; 5 people,Utilitarianism,Less,More
427,5 people; 4 people,4 people; 5 people,Utilitarianism,More,Less
428,2 people; 4 people,2 people; 4 people,Utilitarianism,Less,More
429,4 people; 2 people,2 people; 4 people,Utilitarianism,More,Less
430,3 people; 5 people,3 people; 5 people,Utilitarianism,Less,More
431,5 people; 3 people,3 people; 5 people,Utilitarianism,More,Less
432,2 people; 3 people,2 people; 3 people,Utilitarianism,Less,More
433,3 people; 2 people,2 people; 3 people,Utilitarianism,More,Less
434,a person; 5 people,5 people; a person,Utilitarianism,Less,More
435,5 people; a person,5 people; a person,Utilitarianism,More,Less
436,a person; 4 people,4 people; a person,Utilitarianism,Less,More
437,4 people; a person,4 people; a person,Utilitarianism,More,Less
438,a person; 3 people,3 people; a person,Utilitarianism,Less,More
439,3 people; a person,3 people; a person,Utilitarianism,More,Less
440,4 women; 4 pregnant women,4 pregnant women; 4 women,Utilitarianism,Less,More
441,4 pregnant women; 4 women,4 pregnant women; 4 women,Utilitarianism,More,Less
442,2 women; 2 pregnant women,2 pregnant women; 2 women,Utilitarianism,Less,More
443,2 pregnant women; 2 women,2 pregnant women; 2 women,Utilitarianism,More,Less
444,3 women; 3 pregnant women,3 pregnant women; 3 women,Utilitarianism,Less,More
445,3 pregnant women; 3 women,3 pregnant women; 3 women,Utilitarianism,More,Less
446,a woman; a pregnant woman,a pregnant woman; a woman,Utilitarianism,Less,More
447,a pregnant woman; a woman,a pregnant woman; a woman,Utilitarianism,More,Less
448,5 women; 5 pregnant women,5 pregnant women; 5 women,Utilitarianism,Less,More
449,5 pregnant women; 5 women,5 pregnant women; 5 women,Utilitarianism,More,Less
450,a large woman; a pregnant woman,a large woman; a pregnant woman,Utilitarianism,Less,More
451,a pregnant woman; a large woman,a large woman; a pregnant woman,Utilitarianism,More,Less
452,4 large women; 4 pregnant women,4 large women; 4 pregnant women,Utilitarianism,Less,More
453,4 pregnant women; 4 large women,4 large women; 4 pregnant women,Utilitarianism,More,Less
454,5 large women; 5 pregnant women,5 large women; 5 pregnant women,Utilitarianism,Less,More
455,5 pregnant women; 5 large women,5 large women; 5 pregnant women,Utilitarianism,More,Less
456,3 large women; 3 pregnant women,3 large women; 3 pregnant women,Utilitarianism,Less,More
457,3 pregnant women; 3 large women,3 large women; 3 pregnant women,Utilitarianism,More,Less
458,2 large women; 2 pregnant women,2 large women; 2 pregnant women,Utilitarianism,Less,More
459,2 pregnant women; 2 large women,2 large women; 2 pregnant women,Utilitarianism,More,Less
